,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Vaini,20,TO,1624722022,73,-21.2,-175.2,71.76,12.66
1,Mongo,10,TD,1624722023,18,12.1844,18.693,102.34,3.13
2,Kloulklubed,100,PW,1624721774,73,7.0419,134.2556,75.7,7.2
3,Nanortalik,72,GL,1624722024,88,60.1432,-45.2371,47.64,4.54
4,Pontianak,20,ID,1624722024,83,-0.0333,109.3333,80.58,0.0
5,Barrow,90,US,1624722024,93,71.2906,-156.7887,35.62,13.8
6,Ushuaia,0,AR,1624722025,75,-54.8,-68.3,38.86,5.75
7,Makkah al Mukarramah,81,SA,1624722025,25,21.4267,39.8261,96.66,9.84
8,Khotyn,64,UA,1624722026,73,48.4833,26.5,78.21,9.4
9,Mitsamiouli,10,KM,1624722026,67,-11.3847,43.2844,76.6,4.45
10,Nhulunbuy,90,AU,1624722027,78,-12.2333,136.7667,75.81,17.27
11,Tshikapa,6,CD,1624722027,24,-6.4167,20.8,89.28,0.78
12,Chui,73,UY,1624722027,83,-33.6971,-53.4616,60.3,10.31
13,Hobart,75,AU,1624721816,91,-42.8794,147.3294,50.25,9.22
14,Izhma,35,RU,1624722028,41,65.0083,53.9113,70.07,1.48
15,Burē,62,ET,1624722028,83,10.7,37.0667,61.52,5.44
16,Sweetwater,90,US,1624722029,78,25.7634,-80.3731,88.02,3.0
17,Sur,0,OM,1624722029,51,22.5667,59.5289,90.48,13.38
18,Khovu-Aksy,82,RU,1624722030,67,51.1333,93.6,50.34,1.97
19,Östersund,77,SE,1624722030,48,63.1792,14.6357,68.61,8.05
20,Ulladulla,0,AU,1624722030,72,-35.35,150.4667,53.1,7.52
21,Puerto Ayora,97,EC,1624722031,91,-0.7393,-90.3518,75.16,5.01
22,Bredasdorp,33,ZA,1624722031,63,-34.5322,20.0403,58.32,16.11
23,Kalmunai,97,LK,1624722032,69,7.4167,81.8167,83.97,6.2
24,Samarkand,0,UZ,1624721815,21,39.6542,66.9597,80.02,13.8
25,Jaisinghnagar,100,IN,1624722032,80,23.7,81.3833,80.42,3.98
26,Yellowknife,20,CA,1624721874,68,62.456,-114.3525,70.32,13.8
27,Bo`ka,0,UZ,1624722033,23,40.8108,69.1986,88.72,5.23
28,Guerrero Negro,70,MX,1624722033,71,27.9769,-114.0611,68.88,12.48
29,Cotonou,40,BJ,1624722034,88,6.3654,2.4183,75.18,5.75
30,Tuatapere,100,NZ,1624722034,93,-46.1333,167.6833,43.83,3.42
31,Imeni Poliny Osipenko,100,RU,1624722035,98,52.4201,136.4853,51.94,4.92
32,Nikolskoye,38,RU,1624722035,63,59.7035,30.7861,78.4,7.87
33,Mataura,100,NZ,1624722036,97,-46.1927,168.8643,43.48,3.74
34,Guadalupe y Calvo,49,MX,1624722036,44,26.1,-106.9667,74.01,2.19
35,Wenling,100,CN,1624722036,96,28.3669,121.36,78.91,4.74
36,Rikitea,1,PF,1624722037,76,-23.1203,-134.9692,73.76,7.4
37,Yar-Sale,59,RU,1624722037,48,66.8333,70.8333,50.65,7.56
38,Kotel'nich,26,RU,1624722037,62,58.3089,48.348,78.33,4.09
39,Oistins,40,BB,1624721764,54,13.0667,-59.5333,86.09,24.16
40,Lüderitz,0,NA,1624722038,64,-26.6481,15.1594,60.28,13.4
41,Provideniya,100,RU,1624722038,88,64.3833,-173.3,43.32,11.74
42,Isangel,22,VU,1624722039,71,-19.55,169.2667,73.6,13.31
43,Sungai Penuh,52,ID,1624722039,97,-2.0833,101.3833,63.3,1.1
44,Cherskiy,100,RU,1624722040,44,68.75,161.3,62.37,6.26
45,Ca Mau,24,VN,1624722040,81,9.1769,105.15,80.08,4.07
46,Busselton,0,AU,1624722040,64,-33.65,115.3333,54.05,20.56
47,Severodvinsk,100,RU,1624722041,81,64.5635,39.8302,64.51,7.45
48,Gemeente Wageningen,75,NL,1624722041,55,51.9667,5.6667,78.85,3.0
49,Albany,100,US,1624722042,70,42.6001,-73.9662,80.8,9.95
50,Nantucket,90,US,1624722042,92,41.2835,-70.0995,77.97,11.5
51,Port Lincoln,91,AU,1624722042,84,-34.7333,135.8667,55.92,9.62
52,Meulaboh,97,ID,1624722043,88,4.1363,96.1285,76.24,2.59
53,Cabo San Lucas,20,MX,1624722043,56,22.8909,-109.9124,91.51,4.0
54,Ketchikan,40,US,1624722043,88,55.3422,-131.6461,63.07,14.97
55,Qaqortoq,99,GL,1624721838,89,60.7167,-46.0333,57.7,4.72
56,Qaanaaq,34,GL,1624722044,71,77.484,-69.3632,40.35,3.83
57,Sitka,90,US,1624722044,94,57.0531,-135.33,55.29,5.75
58,Itarema,30,BR,1624722045,63,-2.9248,-39.9167,83.62,9.37
59,Saskylakh,74,RU,1624722045,58,71.9167,114.0833,46.09,7.09
60,Avarua,75,CK,1624722046,78,-21.2078,-159.775,73.45,16.11
61,Khovd,82,MN,1624722046,25,48.0056,91.6419,63.57,3.24
62,Jamestown,20,US,1624722046,50,42.097,-79.2353,79.52,5.99
63,Salalah,75,OM,1624722047,83,17.0151,54.0924,82.49,12.66
64,Beringovskiy,19,RU,1624722047,74,63.05,179.3167,39.56,7.87
65,Dingle,100,PH,1624722047,87,10.9995,122.6711,78.15,1.72
66,Atuona,81,PF,1624722048,73,-9.8,-139.0333,79.05,19.66
67,Znamenskoye,59,RU,1624722048,75,57.1281,73.8282,56.03,4.74
68,Walvis Bay,5,NA,1624722049,58,-22.9575,14.5053,64.98,14.97
69,Castro,68,BR,1624721916,55,-24.7911,-50.0119,72.75,10.51
70,Puerto Wilches,100,CO,1624722049,86,7.3483,-73.896,77.07,1.57
71,Port Alfred,7,ZA,1624722050,68,-33.5906,26.891,59.27,26.02
72,Kavieng,91,PG,1624722050,77,-2.5744,150.7967,81.57,8.41
73,Severo-Kuril'sk,64,RU,1624722051,94,50.6789,156.125,43.39,13.67
74,Butaritari,100,KI,1624722051,73,3.0707,172.7902,83.43,14.0
75,Dikson,93,RU,1624722051,91,73.5069,80.5464,31.91,4.56
76,Ribeira Grande,40,PT,1624722052,83,38.5167,-28.7,70.2,9.22
77,Riyadh,3,SA,1624722047,7,24.6877,46.7219,107.74,9.91
78,Palmer,90,US,1624722052,68,42.1584,-72.3287,81.21,1.01
79,Vanimo,100,PG,1624722053,88,-2.6741,141.3028,77.32,5.06
80,Lakatoro,40,VU,1624722053,76,-16.0999,167.4164,77.2,17.67
81,Sehore,100,IN,1624722053,69,23.2,77.0833,82.67,8.03
82,Kamenka,5,RU,1624722054,57,51.3223,42.7678,83.53,4.79
83,Serenje,0,ZM,1624722054,44,-13.2325,30.2352,60.71,6.62
84,Kangaatsiaq,100,GL,1624722055,85,68.3065,-53.4641,39.88,18.92
85,College,75,US,1624722055,64,64.8569,-147.8028,62.22,0.0
86,Hermanus,53,ZA,1624722056,71,-34.4187,19.2345,57.9,15.52
87,Kapaa,75,US,1624722056,78,22.0752,-159.319,73.72,6.91
88,Shimoda,100,JP,1624722056,78,34.6667,138.95,73.17,1.68
89,Hasaki,100,JP,1624722057,88,35.7333,140.8333,70.29,5.55
90,Angoche,1,MZ,1624722057,70,-16.2325,39.9086,74.77,10.38
91,Vaitape,12,PF,1624722057,76,-16.5167,-151.75,80.06,7.02
92,Matagami,90,CA,1624722058,83,49.7502,-77.6328,69.91,3.44
93,Comodoro Rivadavia,20,AR,1624721965,61,-45.8667,-67.5,42.66,11.5
94,Cape Town,75,ZA,1624722058,56,-33.9258,18.4232,60.1,1.01
95,Saldanha,60,ZA,1624722059,71,-33.0117,17.9442,60.85,4.99
96,Avera,39,US,1624722059,48,33.194,-82.5271,84.94,6.8
97,Kysyl-Syr,35,RU,1624722060,93,63.8986,122.7617,60.31,4.9
98,Cabedelo,61,BR,1624722061,60,-6.9811,-34.8339,86.67,19.08
99,Mocuba,0,MZ,1624722061,49,-16.8392,36.9856,73.06,4.14
100,Hilo,90,US,1624722030,94,19.7297,-155.09,82.27,5.75
101,Ilulissat,75,GL,1624722062,87,69.2167,-51.1,46.42,10.36
102,Soyo,47,AO,1624722062,81,-6.1349,12.3689,78.85,8.03
103,Richards Bay,0,ZA,1624722062,58,-28.783,32.0377,65.75,6.31
104,Léogâne,68,HT,1624722063,64,18.5108,-72.6339,89.8,4.76
105,Ostrovnoy,81,RU,1624722063,84,68.0531,39.5131,46.9,9.35
106,Taoudenni,3,ML,1624722064,5,22.6783,-3.9836,115.66,8.48
107,Cidreira,100,BR,1624722064,94,-30.1811,-50.2056,60.96,12.97
108,Salaga,100,GH,1624722065,58,8.5508,-0.5188,86.22,3.47
109,Dauphin,90,CA,1624722065,77,51.1494,-100.0502,66.34,4.61
110,Halifax,90,CA,1624722065,91,44.6453,-63.5724,73.53,3.0
111,Mountain Home,1,US,1624721923,33,43.133,-115.6912,81.93,11.5
112,Khatanga,100,RU,1624722066,47,71.9667,102.5,49.64,3.85
113,Fengzhen,55,CN,1624722066,50,40.4394,113.1536,70.74,2.15
114,Vao,88,NC,1624722067,69,-22.6667,167.4833,72.57,20.54
115,Palmas,0,BR,1624722067,29,-10.2128,-48.3603,89.47,10.36
116,Ponta Delgada,75,PT,1624722068,100,37.7333,-25.6667,68.72,9.22
117,Corinth,2,GR,1624722068,45,37.9407,22.9573,98.64,3.47
118,Kaitangata,87,NZ,1624722069,95,-46.2817,169.8464,44.65,3.58
119,Pevek,100,RU,1624722069,61,69.7008,170.3133,40.15,7.96
120,Chokurdakh,100,RU,1624722070,60,70.6333,147.9167,57.36,8.86
121,Punta Arenas,75,CL,1624722070,87,-53.15,-70.9167,37.51,10.36
122,Jumla,80,NP,1624721944,93,29.2747,82.1838,61.09,1.83
123,Nasīrābād,80,IN,1624722071,49,26.3,74.7333,86.99,13.31
124,St. George's,40,GD,1624722071,94,12.0564,-61.7485,76.68,16.11
125,Aklavik,62,CA,1624722072,68,68.2191,-135.0107,49.03,3.31
126,Saint Paul Harbor,90,US,1624722072,87,57.79,-152.4072,49.51,10.36
127,Pervomays'k,41,UA,1624722072,68,48.0443,30.8507,73.9,18.99
128,Necochea,100,AR,1624722073,56,-38.5473,-58.7368,54.03,11.12
129,Bluff,73,NZ,1624722073,92,-46.6,168.3333,43.81,7.78
130,La Rioja,90,ES,1624721848,54,42.25,-2.5,83.98,5.14
131,Kieta,95,PG,1624722074,85,-6.2167,155.6333,77.83,3.44
132,Haines Junction,100,CA,1624722074,76,60.7522,-137.5108,53.55,1.14
133,Lárdos,0,GR,1624722075,53,36.0942,28.0157,85.82,19.48
134,Pemba,40,MZ,1624722075,73,-12.974,40.5178,77.7,8.05
135,Thompson,1,CA,1624722076,44,55.7435,-97.8558,57.36,2.3
136,Lebu,9,CL,1624722076,73,-37.6167,-73.65,48.07,6.64
137,New Norfolk,92,AU,1624722077,88,-42.7826,147.0587,49.75,1.01
138,Ancud,43,CL,1624722077,72,-41.8697,-73.8203,45.93,2.15
139,Stranda,100,NO,1624722077,92,62.3096,6.9358,59.61,11.01
140,Bengkulu,66,ID,1624722078,89,-3.8004,102.2655,76.3,5.17
141,Kudahuvadhoo,100,MV,1624722078,73,2.6708,72.8944,82.45,10.16
142,Vila Velha,75,BR,1624722079,65,-20.3297,-40.2925,77.97,4.61
143,Kutum,91,SD,1624722079,13,14.2,24.6667,92.91,15.3
144,Iqaluit,75,CA,1624722079,70,63.7506,-68.5145,42.53,10.0
145,Geraldton,67,AU,1624722080,76,-28.7667,114.6,48.61,13.8
146,Tuktoyaktuk,90,CA,1624722080,100,69.4541,-133.0374,41.0,5.75
147,Ponta do Sol,4,PT,1624722080,62,32.6667,-17.1,74.71,3.49
148,Honiara,98,SB,1624722081,90,-9.4333,159.95,76.64,8.03
149,Barra Patuca,19,HN,1624722081,65,15.8,-84.2833,85.3,6.42
150,Rome,90,US,1624721847,71,43.2128,-75.4557,79.12,3.44
151,Souillac,75,MU,1624722082,94,-20.5167,57.5167,71.37,16.11
152,Bambous Virieux,75,MU,1624722082,94,-20.3428,57.7575,71.22,16.11
153,Vila,100,PT,1624722083,56,42.0304,-8.1588,73.74,8.08
154,Shache,0,CN,1624722083,19,38.4167,77.2406,81.25,10.25
155,Lompoc,90,US,1624722083,84,34.6391,-120.4579,86.13,4.61
156,Vrede,0,ZA,1624722084,23,-27.4257,29.1659,48.33,6.38
157,Rapid Valley,1,US,1624722084,47,44.0625,-103.1463,70.77,1.99
158,Fairlie,100,GB,1624722085,71,55.756,-4.8556,64.22,3.0
159,Makakilo City,1,US,1624722085,81,21.3469,-158.0858,72.28,4.61
160,Isugod,64,PH,1624722085,83,9.3408,118.1196,79.97,2.8
161,George Town,20,MY,1624722021,80,5.4112,100.3354,82.35,0.0
162,Arraial do Cabo,0,BR,1624722057,69,-22.9661,-42.0278,78.76,17.27
163,Constitución,0,CL,1624722086,52,-35.3333,-72.4167,50.54,11.74
164,Vardø,100,NO,1624722087,79,70.3705,31.1107,46.69,4.79
165,Mossamedes,22,AO,1624722087,63,-15.1961,12.1522,74.05,7.9
166,Alta Floresta,40,BR,1624722087,49,-9.8756,-56.0861,91.22,3.44
167,Lapeer,90,US,1624722088,94,43.0514,-83.3188,76.35,4.61
168,Santa Maria,90,BR,1624722088,100,-29.6842,-53.8069,52.9,8.05
169,Asău,41,RO,1624722089,59,46.4333,26.4,79.72,0.18
170,Guarapari,52,BR,1624722089,64,-20.6667,-40.4975,77.92,11.79
171,Naze,100,JP,1624721837,91,28.3667,129.4833,77.27,11.61
172,Touros,74,BR,1624722090,51,-5.1989,-35.4608,86.9,18.25
173,East London,0,ZA,1624722090,72,-33.0153,27.9116,59.94,17.27
174,Xichang,100,CN,1624722091,90,27.8964,102.2634,71.29,1.97
175,El Reno,40,US,1624721823,94,35.5323,-97.955,72.46,8.05
176,Pierre,90,US,1624721948,84,44.3683,-100.351,72.99,8.99
177,Te Anau,85,NZ,1624722091,93,-45.4167,167.7167,44.98,2.48
178,Paamiut,97,GL,1624722092,98,61.994,-49.6678,43.14,13.31
179,Alexandria,0,EG,1624721898,66,31.2156,29.9553,86.54,11.5
180,Jerusalem,0,IL,1624722092,65,31.769,35.2163,78.71,8.99
181,Sept-Îles,75,CA,1624722093,88,50.2001,-66.3821,63.12,8.05
182,Mabaruma,97,GY,1624722093,80,8.2,-59.7833,82.31,4.7
183,Papara,2,BR,1624722093,44,-3.9839,-38.7273,86.72,7.23
184,Mahébourg,75,MU,1624722094,94,-20.4081,57.7,71.26,16.11
185,Killam,0,CA,1624722094,64,52.7834,-111.8518,73.62,6.91
186,Loei,96,TH,1624722095,93,17.4167,101.5,66.54,3.4
187,Roanoke Rapids,40,US,1624722095,94,36.4615,-77.6542,83.86,10.36
188,Saint-Philippe,39,RE,1624722096,81,-21.3585,55.7679,70.21,11.54
189,Emerald,84,AU,1624722096,87,-23.5333,148.1667,53.74,6.91
190,Saint George,1,US,1624722081,20,37.1041,-113.5841,91.87,3.0
191,Pimentel,75,PE,1624722097,76,-6.8367,-79.9342,70.09,3.0
192,Lubango,64,AO,1624722097,24,-14.9172,13.4925,71.65,3.06
193,Lata,52,PT,1624722098,39,40.1629,-8.3327,81.05,9.28
194,Policarpa,42,CO,1624722098,60,1.6323,-77.462,78.66,3.78
195,Fallon,1,US,1624722098,21,39.4735,-118.7774,83.44,3.44
196,Kwang Binh,80,VN,1624722099,73,17.4833,106.6,83.62,5.03
197,Beloha,11,MG,1624722099,73,-25.1667,45.05,65.53,4.23
198,Phan Thiet,67,VN,1624721841,88,10.9333,108.1,78.96,5.14
199,Nizhnevartovsk,0,RU,1624722100,42,60.9344,76.5531,62.62,6.71
200,Cockburn Town,1,TC,1624722056,76,21.4612,-71.1419,80.83,13.65
201,Dabat,74,ET,1624722101,90,12.9842,37.765,54.23,9.1
202,Tasiilaq,95,GL,1624722101,61,65.6145,-37.6368,48.36,4.76
203,Neiafu,40,TO,1624722102,78,-18.65,-173.9833,74.08,10.36
204,Novy Urengoy,7,RU,1624722102,47,66.0833,76.6333,53.56,10.76
205,Jiuquan,0,CN,1624722103,33,39.7432,98.5174,77.74,7.47
206,Mar del Plata,90,AR,1624722026,67,-38.0023,-57.5575,54.0,0.0
207,Gorontalo,100,ID,1624722103,95,0.5412,123.0595,74.37,2.28
208,Tiksi,71,RU,1624722104,82,71.6872,128.8694,35.53,5.73
209,Omboué,100,GA,1624722104,83,-1.5746,9.2618,75.36,9.44
210,Hithadhoo,97,MV,1624722104,72,-0.6,73.0833,82.92,14.45
211,Viedma,98,AR,1624722025,61,-40.8135,-62.9967,47.97,20.09
212,Ixtapa,75,MX,1624722105,83,20.7,-105.2,79.23,0.0
213,Belaya Gora,62,RU,1624722106,39,68.5333,146.4167,68.99,4.85
214,Aykhal,100,RU,1624722106,66,66.0,111.5,62.44,7.43
215,Merauke,77,ID,1624722106,87,-8.4667,140.3333,75.4,10.89
216,Brufut,75,GM,1624722107,78,13.3814,-16.7518,80.69,8.05
217,Kaoma,7,ZM,1624722107,25,-14.7833,24.8,70.66,4.36
218,Mount Isa,0,AU,1624722108,66,-20.7333,139.5,49.77,6.91
219,Port Hedland,75,AU,1624722108,55,-20.3167,118.5667,60.85,8.05
220,Yārāda,75,IN,1624722108,74,17.65,83.2667,86.32,3.44
221,Cairns,90,AU,1624722070,83,-16.9167,145.7667,71.55,8.05
222,Bambanglipuro,22,ID,1624722109,93,-7.95,110.2833,57.6,5.37
223,Springbok,0,ZA,1624722109,50,-29.6643,17.8865,50.36,1.81
224,Nioro,90,GM,1624722110,34,13.35,-15.75,97.84,4.56
225,Belmonte,47,BR,1624722110,59,-15.8631,-38.8828,72.1,13.0
226,Praia da Vitória,75,PT,1624722111,73,38.7333,-27.0667,72.75,3.42
227,Klaksvík,75,FO,1624722111,85,62.2266,-6.589,52.72,14.25
228,Lorengau,48,PG,1624722111,80,-2.0226,147.2712,80.29,5.41
229,Marshall,75,US,1624721838,62,34.3834,-86.3333,83.07,1.99
230,Port-Gentil,90,GA,1624722112,74,-0.7193,8.7815,80.56,12.66
231,Ilek,1,RU,1624722112,49,51.5271,53.3831,84.2,7.14
232,Kodīnar,81,IN,1624722113,72,20.7903,70.7031,83.73,13.76
233,Mackenzie,1,CA,1624722113,77,55.2999,-123.1698,66.42,0.0
234,Neftekamsk,50,RU,1624722113,81,56.092,54.2703,72.99,5.12
235,Longyearbyen,8,SJ,1624722003,75,78.2186,15.6401,42.64,4.61
236,Faanui,12,PF,1624722114,76,-16.4833,-151.75,80.06,7.09
237,Porto Santo,40,PT,1624722114,56,33.072,-16.3415,73.31,10.36
238,Puerto Ayacucho,29,VE,1624722115,67,5.6639,-67.6236,85.75,2.26
239,Goderich,100,CA,1624722115,83,43.7501,-81.7165,75.9,11.5
240,Karpathos,0,GR,1624722116,78,35.507,27.2132,82.36,26.46
241,Kavaratti,11,IN,1624722116,70,10.5669,72.642,83.34,14.54
242,Mehamn,100,NO,1624722116,91,71.0357,27.8492,46.36,17.72
243,Hong Kong,96,HK,1624721839,90,22.2855,114.1577,86.38,1.01
244,Popondetta,91,PG,1624722117,88,-8.7537,148.2534,75.6,1.83
245,Clyde River,90,CA,1624722117,93,70.4692,-68.5914,37.63,23.02
246,Palauig,95,PH,1624722118,79,15.435,119.9045,81.34,1.45
247,Margate,86,GB,1624722118,71,51.3813,1.3862,69.19,3.0
248,Adrar,39,MR,1624722119,7,20.5022,-10.0711,107.91,4.25
249,Bud,82,US,1624722119,78,39.447,-86.1758,81.21,17.0
250,Barcelos,100,PT,1624722004,58,41.5388,-8.6151,77.29,7.49
251,Ilhéus,75,BR,1624722120,83,-14.7889,-39.0494,73.22,8.05
252,Montorio al Vomano,85,IT,1624722120,38,42.5831,13.6383,91.09,4.72
253,Emporia,90,US,1624722121,78,38.4039,-96.1817,77.2,12.66
254,Grand Gaube,35,MU,1624722121,89,-20.0064,57.6608,71.38,10.0
255,Sindang,29,ID,1624722122,97,-7.0047,108.335,69.31,3.29
256,Indiana,90,US,1624722120,77,40.0003,-86.2503,80.58,13.8
257,Bathsheba,40,BB,1624722122,54,13.2167,-59.5167,86.61,24.16
258,Sapa,52,PH,1624722123,73,5.1544,120.3241,82.56,5.66
259,Ugoofaaru,95,MV,1624722123,75,5.6667,73.0,82.22,13.67
260,Krasnyy Yar,80,RU,1624722124,27,46.5331,48.3456,93.13,10.96
261,Halden,19,NO,1624722124,63,59.1226,11.3871,70.7,8.28
262,Mount Gambier,40,AU,1624721934,100,-37.8333,140.7667,51.71,6.91
263,Birao,60,CF,1624722125,27,10.2849,22.7882,95.67,3.24
264,Sørland,100,NO,1624722125,81,67.667,12.6934,50.07,21.21
265,Nelson Bay,0,AU,1624722125,81,-32.7167,152.15,52.0,14.52
266,Kanganpur,99,PK,1624722126,28,30.7663,74.1231,92.21,4.23
267,Hobyo,43,SO,1624722126,80,5.3505,48.5268,78.39,27.16
268,Macapá,40,BR,1624721960,70,0.0389,-51.0664,89.58,9.22
269,Port Elizabeth,20,ZA,1624722127,55,-33.918,25.5701,61.09,23.02
270,Husavik,0,IS,1624722127,51,66.0449,-17.3389,69.71,7.99
271,Torbay,75,CA,1624722128,63,47.6666,-52.7314,72.88,20.71
272,Totness,13,SR,1624722128,70,5.8833,-56.3167,83.07,7.72
273,Kruisfontein,1,ZA,1624722128,69,-34.0033,24.7314,57.88,22.03
274,Scarborough,46,GB,1624722129,72,54.2797,-0.4044,65.86,3.0
275,Mirny,100,RU,1624722129,62,62.5353,113.9611,60.6,3.38
276,Narsaq,97,GL,1624722129,81,60.9167,-46.05,57.42,4.14
277,Alyangula,11,AU,1624722130,94,-13.8483,136.4192,64.27,0.0
278,The Valley,20,AI,1624722130,78,18.217,-63.0578,84.09,13.8
279,Petropavlovsk-Kamchatskiy,75,RU,1624722131,100,53.0452,158.6483,46.99,0.0
280,Palu,98,ID,1624722131,95,-0.8917,119.8707,75.67,3.22
