,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
281,Camacha,40,PT,1624722132,56,33.0833,-16.3333,70.56,10.36
282,Pitimbu,86,BR,1624722132,57,-7.4706,-34.8086,86.59,18.3
283,Bilma,5,NE,1624722132,6,18.6853,12.9164,108.1,11.61
284,Esperance,0,AU,1624722041,59,-33.8667,121.9,48.04,12.39
285,Mokhsogollokh,97,RU,1624722133,65,61.4681,128.9203,61.92,0.83
286,Kununurra,89,AU,1624722133,37,-15.7667,128.7333,71.58,6.91
287,São Filipe,92,CV,1624722134,78,14.8961,-24.4956,76.71,6.06
288,Turaif,0,SA,1624722134,17,31.6725,38.6637,100.65,4.61
289,Turukhansk,100,RU,1624722135,85,65.8167,87.9833,46.62,1.72
290,Katsuura,100,JP,1624722135,87,35.1333,140.3,75.11,2.68
291,Srednekolymsk,82,RU,1624722135,40,67.45,153.6833,65.97,7.0
292,Arzgir,1,RU,1624722136,27,45.3728,44.2206,93.45,3.74
293,Portoferraio,20,IT,1624722136,36,42.8115,10.3146,85.98,0.0
294,Alofi,92,NU,1624722137,83,-19.0595,-169.9187,71.49,21.85
295,Port Hardy,1,CA,1624722137,88,50.6996,-127.4199,60.98,4.61
296,Bojonegoro,14,ID,1624722138,91,-7.1502,111.8817,76.39,4.88
297,Okhotsk,1,RU,1624722138,82,59.3833,143.3,52.23,6.11
298,Watsa,81,CD,1624722138,61,3.0372,29.5355,74.01,2.26
299,Ojinaga,1,MX,1624722139,43,29.5667,-104.4167,93.58,5.75
300,Ahero,99,KE,1624722139,73,-0.1746,34.9163,69.24,2.06
301,Bandarbeyla,63,SO,1624722139,81,9.4942,50.8122,77.34,32.73
302,Jining,46,CN,1624722132,69,35.405,116.5814,79.07,6.4
303,Verkhnyaya Inta,93,RU,1624722140,84,65.9811,60.3094,59.34,2.95
304,Zhengjiatun,77,CN,1624722141,95,43.5064,123.5064,65.32,11.56
305,Selfoss,0,IS,1624722141,52,63.9331,-20.9971,58.05,15.41
306,Pisco,40,PE,1624722060,68,-13.7,-76.2167,67.01,3.44
307,West Bay,20,KY,1624722141,71,19.3667,-81.4167,89.08,3.0
308,Ossora,99,RU,1624722142,94,59.2353,163.0719,46.56,6.93
309,Akropong,100,GH,1624722142,92,5.9746,-0.0854,67.15,2.17
310,Leningradskiy,55,RU,1624722143,66,69.3833,178.4167,41.49,6.91
311,Warmbad,0,NA,1624722143,36,-28.45,18.7333,56.48,5.66
312,Kuytun,48,RU,1624722143,75,54.3419,101.5036,52.3,3.02
313,Laas,67,IT,1624722144,72,46.6166,10.7002,80.51,1.01
314,Plastun,99,RU,1624722144,96,44.7561,136.2939,55.74,3.04
315,Lázaro Cárdenas,100,MX,1624722145,82,17.9583,-102.2,75.67,8.28
316,Malinyi,26,TZ,1624722145,57,-8.9333,36.1333,71.51,4.7
317,Bac Lieu,17,VN,1624722145,76,9.285,105.7244,82.69,8.52
318,Forécariah,95,GN,1624722146,64,9.4306,-13.0881,84.06,3.53
319,Guilin,100,CN,1624722146,95,25.2819,110.2864,78.91,2.46
320,Puerto Escondido,40,MX,1624722147,69,15.85,-97.0667,83.23,6.91
321,Bryan,75,US,1624722147,70,30.6744,-96.37,87.98,13.8
322,Bambamarca,30,PE,1624722147,55,-6.6833,-78.5333,64.17,6.13
323,Muli,100,MV,1624722148,74,2.9167,73.5667,82.62,13.22
324,Corralillo,99,CU,1624722148,62,22.9819,-80.5856,85.98,11.68
325,Porto-Novo,100,BJ,1624722149,92,6.4965,2.6036,75.02,4.72
326,Hualmay,41,PE,1624722149,71,-11.0964,-77.6139,66.61,10.65
327,Brae,92,GB,1624722149,69,60.3964,-1.353,51.71,13.96
328,Vágur,99,FO,1624722150,96,61.4732,-6.8119,49.23,23.4
329,Shubarkuduk,55,KZ,1624722150,47,49.1447,56.4872,80.17,21.81
330,Senneterre,100,CA,1624722151,99,48.3835,-77.2328,68.22,5.28
331,Atar,19,MR,1624722151,8,20.5169,-13.0499,109.24,14.16
332,Bethel,75,US,1624722151,74,41.3712,-73.414,82.35,1.99
333,Tsuyama,100,JP,1624722152,93,35.05,134.0,67.84,2.42
334,Wanning,97,CN,1624722152,90,18.8003,110.3967,82.18,10.29
335,Mana,15,GF,1624722153,71,5.6592,-53.7767,82.76,10.22
336,Aitape,93,PG,1624722153,86,-3.1374,142.3475,77.43,5.26
337,Ciudad de Allende,1,MX,1624722093,53,25.2833,-100.0167,82.76,4.97
338,Uribia,100,CO,1624722154,58,11.7139,-72.266,87.48,13.4
339,Lamesa,3,US,1624722154,46,32.7376,-101.951,84.07,7.49
340,Magaria,39,NE,1624722154,16,12.9983,8.9099,103.87,7.54
341,Pringsewu,27,ID,1624722155,96,-5.3582,104.9744,73.89,0.92
342,Los Alamos,1,US,1624722155,38,35.8881,-106.307,74.05,1.01
343,Manggar,13,ID,1624722156,80,-2.8833,108.2667,81.43,6.78
344,Dudinka,29,RU,1624722156,53,69.4058,86.1778,48.49,19.04
345,Hamilton,75,US,1624721912,70,39.1834,-84.5333,83.25,3.0
346,Noumea,89,NC,1624722085,99,-22.2763,166.4572,73.0,9.46
347,Otjimbingwe,3,NA,1624722157,15,-22.35,16.1333,75.6,7.0
348,Lufilufi,22,WS,1624722157,75,-13.8745,-171.5986,76.78,23.2
349,Murgab,0,TM,1624722158,16,37.4966,61.9714,94.87,13.8
350,Presidente Epitácio,100,BR,1624722158,26,-21.7633,-52.1156,87.85,12.39
351,Arman',90,RU,1624722159,90,59.7,150.1667,52.25,3.44
352,Vestmannaeyjar,0,IS,1624722159,76,63.4427,-20.2734,54.59,18.41
353,Vilyuysk,88,RU,1624722159,86,63.7553,121.6247,63.18,5.37
354,Lagoa,22,PT,1624722160,78,39.05,-27.9833,67.14,10.07
355,Zelenchukskaya,100,RU,1624722160,96,43.858,41.5894,67.89,0.85
356,Rio Grande,100,BR,1624722139,97,-32.035,-52.0986,59.11,12.77
357,Surin,68,TH,1624722161,72,14.8818,103.4936,81.95,9.13
358,Tashtyp,96,RU,1624722161,83,52.7939,89.8983,51.21,4.09
359,Kahului,1,US,1624722162,81,20.8947,-156.47,73.85,5.75
360,Rodolfo Sánchez Taboada,0,MX,1624722162,44,31.7167,-116.5667,79.05,6.78
361,Acaraú,26,BR,1624722162,62,-2.8856,-40.12,83.91,9.28
362,Erzin,0,TR,1624722163,64,36.9559,36.2,90.12,8.61
363,Sokółka,67,PL,1624722163,65,53.4072,23.5023,76.66,8.03
364,Bosaso,92,SO,1624722163,61,11.2842,49.1816,88.39,6.22
365,Natitingou,83,BJ,1624722164,52,10.3042,1.3796,73.45,1.54
366,Roebourne,24,AU,1624722164,43,-20.7833,117.1333,64.51,9.33
367,Saint-Pierre,75,RE,1624722165,74,-21.3393,55.4781,70.29,3.44
368,Cananéia,100,BR,1624722165,74,-25.0147,-47.9267,72.95,1.92
369,Kuril'sk,99,RU,1624722165,99,45.2333,147.8833,51.42,1.45
370,Plouzané,75,FR,1624722166,70,48.3833,-4.6167,64.49,12.66
371,Norman Wells,20,CA,1624722166,63,65.282,-126.8329,66.24,4.61
372,Tura,83,IN,1624722167,96,25.5198,90.2201,74.89,5.12
373,Khandyga,45,RU,1624722167,71,62.6667,135.6,59.86,2.48
374,Los Llanos de Aridane,75,ES,1624722167,75,28.6585,-17.9182,69.55,12.66
375,Atambua,57,ID,1624722168,88,-9.1061,124.8925,72.07,5.23
376,Alekseyevsk,50,RU,1624722168,70,57.8406,108.3492,62.58,9.06
377,Dondo,0,MZ,1624722169,71,-19.6094,34.7431,74.71,7.14
378,Raymondville,15,US,1624722169,43,26.4815,-97.7831,89.29,16.73
379,San Patricio,53,US,1624722170,60,28.017,-97.5169,89.69,16.62
380,Payo,73,ID,1624722170,98,-3.7508,103.6372,72.16,2.93
381,Mayo,75,US,1624722170,78,38.8876,-76.5119,84.36,5.99
382,Mil'kovo,100,RU,1624722171,97,54.7167,158.6167,45.09,3.29
383,Coyhaique,20,CL,1624722171,81,-45.5752,-72.0662,37.35,4.61
384,Bundaberg,75,AU,1624722171,97,-24.85,152.35,62.22,1.99
385,Puerto Nariño,35,CO,1624722172,50,-3.7703,-70.3831,85.95,2.93
386,Nālūt,32,LY,1624722172,7,30.3333,10.85,105.44,8.41
387,Xifeng,100,CN,1624722173,94,42.7372,124.7222,63.91,4.7
388,Tautira,0,PF,1624722173,70,-17.7333,-149.15,75.22,4.45
389,Carnarvon,89,AU,1624722173,45,-24.8667,113.6333,48.27,5.75
390,Gamba,100,GA,1624722174,80,-2.65,10.0,76.3,7.99
391,Tocopilla,53,CL,1624722174,65,-22.092,-70.1979,65.57,8.93
392,Alugan,62,PH,1624722175,80,12.2188,125.4808,80.4,6.04
393,Upernavik,100,GL,1624722175,77,72.7868,-56.1549,39.69,5.35
394,Abomey-Calavi,40,BJ,1624722175,88,6.4485,2.3557,75.06,5.75
395,Vestmanna,90,FO,1624722176,100,62.1564,-7.1664,50.92,9.22
396,Yamada,69,JP,1624722176,93,39.4667,141.95,63.82,3.78
397,Rocha,100,UY,1624722177,72,-34.4833,-54.3333,60.93,10.71
398,Daye,99,CN,1624722177,88,30.0833,114.95,80.11,5.01
399,Chotila,29,IN,1624722178,59,22.4167,71.1833,87.03,18.41
400,Duma,100,CN,1624722178,67,34.7653,108.135,68.02,2.59
401,Bitung,82,ID,1624722178,83,1.4451,125.1824,76.05,5.1
402,Pedro Betancourt,100,CU,1624722179,52,22.7272,-81.29,82.94,8.72
403,Beidao,76,CN,1624722179,89,34.5686,105.8933,66.67,2.55
404,Itaituba,40,BR,1624722179,62,-4.2761,-55.9836,89.76,4.47
405,Kokopo,74,PG,1624722180,86,-4.352,152.2633,75.72,4.61
406,Batticaloa,90,LK,1624722180,65,7.7102,81.6924,83.61,7.7
407,Kerchevskiy,46,RU,1624722181,63,59.946,56.2884,71.56,2.24
408,Tres Picos,98,MX,1624722181,64,15.8667,-93.5333,85.6,2.1
409,Thanatpin,100,MM,1624722181,88,17.2119,96.3033,80.78,5.88
410,Inhambane,0,MZ,1624722182,83,-23.865,35.3833,75.18,11.5
411,Boende,58,CD,1624722182,48,-0.2167,20.8667,86.94,0.51
412,Zapolyarnyy,100,RU,1624722183,54,69.4154,30.8136,54.68,1.21
413,Marsh Harbour,7,BS,1624722183,70,26.5412,-77.0636,82.31,16.78
414,Howard Springs,88,AU,1624722184,80,-12.497,131.047,76.82,8.46
415,Nouadhibou,6,MR,1624722184,65,20.931,-17.0347,76.98,17.27
416,Byron Bay,100,AU,1624722184,70,-28.65,153.6167,51.87,9.28
417,Costineşti,3,RO,1624722185,67,43.95,28.6333,88.72,12.3
418,Milas,20,TR,1624722185,28,37.3164,27.7839,96.15,14.97
419,Praia,90,CV,1624722186,78,14.9215,-23.5087,77.54,21.85
420,Pangnirtung,90,CA,1624722186,71,66.1451,-65.7125,48.2,10.36
421,Bilibino,97,RU,1624722187,42,68.0546,166.4372,56.05,3.49
422,Khāsh,0,IR,1624722187,11,28.2211,61.2158,84.31,9.06
423,Ust-Nera,50,RU,1624722188,51,64.5667,143.2,62.26,3.56
424,Buraidah,0,SA,1624722188,6,26.326,43.975,109.85,5.08
425,Djibouti,81,DJ,1624722189,33,11.5,42.5,90.72,11.36
426,Omsukchan,28,RU,1624722189,57,62.5333,155.8,54.39,3.42
427,Ust'-Kulom,26,RU,1624722190,59,61.6864,53.6902,69.66,5.23
428,Fukuechō,100,JP,1624722190,81,32.6881,128.8419,72.77,16.53
429,Trat,92,TH,1624722191,91,12.5,102.5,77.31,2.37
430,Marovoay,19,MG,1624722191,49,-16.1,46.6333,75.34,2.01
431,Garden City,90,US,1624722033,90,42.3256,-83.331,78.71,12.66
432,Bārdoli,45,IN,1624722191,74,21.1167,73.1167,85.75,12.39
433,Namatanai,95,PG,1624722192,80,-3.6667,152.4333,78.82,5.21
434,Hailey,1,US,1624722192,46,43.5196,-114.3153,67.86,5.75
435,Calbuco,8,CL,1624722193,80,-41.768,-73.1273,43.81,3.24
436,Bassila,94,BJ,1624722193,64,9.0081,1.6654,78.67,5.28
437,Macenta,89,GN,1624722193,65,8.5435,-9.471,80.89,1.45
438,Pemangkat,19,ID,1624722194,79,1.1667,108.9667,79.86,2.3
439,Santoña,98,ES,1624722194,70,43.4439,-3.4576,69.71,9.17
440,Flinders,0,AU,1624722195,68,-34.5833,150.8552,54.18,4.0
441,Qasigiannguit,99,GL,1624722195,81,68.8193,-51.1922,46.65,6.58
442,Magistral'nyy,81,RU,1624722195,68,56.1725,107.4458,58.86,5.35
443,Havøysund,100,NO,1624722196,89,70.9963,24.6622,47.28,8.32
444,Santiago de Chuco,8,PE,1624722196,46,-8.15,-78.1833,59.97,1.7
445,Oriximiná,6,BR,1624722196,46,-1.7656,-55.8661,90.68,4.94
446,Cap Malheureux,27,MU,1624722197,89,-19.9842,57.6142,71.47,10.0
447,Luanda,25,AO,1624722197,77,-8.8368,13.2343,75.76,13.76
448,Oranjestad,40,AW,1624721914,70,12.524,-70.027,85.95,16.11
449,Baharly,0,TM,1624722198,15,38.4362,57.4316,90.86,8.9
450,Hofn,2,IS,1624722199,51,64.2539,-15.2082,59.11,7.74
451,Airai,56,TL,1624722199,94,-8.9266,125.4092,58.46,3.76
452,San Cristobal,100,VE,1624722199,55,7.7669,-72.225,75.38,3.8
453,Kumul,98,CN,1624722200,16,42.8,93.45,87.15,10.11
454,Yanzhou,43,CN,1624722200,64,35.5528,116.8286,79.11,6.73
455,Saint Lawrence,43,MT,1624722201,67,36.0553,14.204,92.61,7.38
456,Kulhudhuffushi,100,MV,1624722201,72,6.6221,73.07,83.28,14.83
457,Plettenberg Bay,58,ZA,1624722201,71,-34.0527,23.3716,56.77,13.29
458,Shetpe,12,KZ,1624722202,14,44.1667,52.1167,99.79,2.42
459,Lodja,75,CD,1624722202,30,-3.4833,23.4333,88.32,2.46
460,Broken Hill,0,AU,1624722203,81,-31.95,141.4333,40.71,4.61
461,Yenagoa,100,NG,1624722203,79,4.9247,6.2642,79.39,6.62
462,Eenhana,10,NA,1624722204,19,-17.4667,16.3333,75.78,2.19
463,Syedove,100,UA,1624722204,83,47.0768,38.156,79.0,9.44
464,Fare,13,PF,1624722204,75,-16.7,-151.0167,80.38,8.59
465,Lisala,31,CD,1624722205,51,2.15,21.5167,85.01,2.66
466,Quryq,14,KZ,1624722205,29,43.2,51.65,90.57,6.08
467,Palana,76,RU,1624722206,93,59.1167,159.9667,39.63,2.26
468,Miraflores,94,MX,1624722206,62,19.2167,-98.8083,66.02,4.85
469,Amlimay,94,PH,1624722206,92,16.6938,120.837,59.31,0.6
470,Codrington,83,AU,1624722207,94,-38.2667,141.9667,50.94,7.76
471,San Quintín,63,MX,1624722207,75,30.4833,-115.95,69.31,8.7
472,Yueyang,100,CN,1624722207,78,29.3333,113.0919,82.89,6.04
473,Susanville,0,US,1624722208,29,40.4163,-120.653,83.08,1.01
474,Isabela,62,PH,1624722208,85,6.7085,121.9711,77.05,3.06
475,Vostok,44,RU,1624722209,88,46.4856,135.8833,58.19,4.88
476,Shumskiy,40,RU,1624722209,80,54.8318,99.1328,51.46,1.01
477,Iralaya,47,HN,1624722210,75,15.0,-83.2333,86.09,7.54
478,Inzhavino,54,RU,1624722210,69,52.3185,42.4937,72.18,12.21
479,Verāval,96,IN,1624722210,73,20.9,70.3667,84.11,14.36
480,Kamalpur,79,IN,1624722211,96,24.2,91.8333,77.4,4.07
481,Hīt,0,IQ,1624722211,9,33.6416,42.8251,105.06,12.24
482,Vila Franca do Campo,63,PT,1624722212,94,37.7167,-25.4333,68.41,18.07
483,Ürümqi,0,CN,1624722212,30,43.801,87.6005,67.15,2.24
484,Deer Lake,90,CA,1624722212,82,49.1667,-57.4316,64.26,3.44
485,Sangar,99,RU,1624722213,59,63.9242,127.4739,64.45,4.27
486,La Ronge,40,CA,1624722213,60,55.1001,-105.2842,71.82,3.44
487,Dawlatabad,0,AF,1624722214,13,36.4141,64.9053,86.7,4.54
488,La Sarre,100,CA,1624722214,81,48.8002,-79.1996,71.92,2.57
489,Dwārka,71,IN,1624722215,68,22.2394,68.9678,84.65,17.92
490,Tokmak,97,UA,1624722215,67,47.2514,35.7058,79.57,12.46
491,Rawson,63,AR,1624722076,61,-43.3002,-65.1023,45.63,27.83
492,Port Macquarie,0,AU,1624722216,74,-31.4333,152.9167,43.38,5.82
493,Pangai,98,TO,1624722216,64,-19.8,-174.35,74.08,27.87
494,Foz,100,ES,1624722216,77,43.5692,-7.2544,75.94,5.97
495,Yaan,100,NG,1624722217,71,7.3833,8.5667,82.2,6.91
496,Phetchabun,100,TH,1624722217,84,16.25,101.0833,80.01,2.55
497,Dubăsari,11,MD,1624722218,58,47.2631,29.1608,86.79,9.13
498,Khasan,63,RU,1624722218,94,42.4308,130.6434,63.12,2.26
499,São João da Barra,84,BR,1624722158,68,-21.6403,-41.0511,77.09,13.78
500,Stephenville,75,US,1624722050,66,32.2207,-98.2023,84.2,13.8
501,Benalla,46,AU,1624722219,78,-36.55,145.9833,40.98,0.54
502,Anzio,2,IT,1624722219,59,41.4853,12.6179,92.39,10.47
503,Amahai,89,ID,1624722220,88,-3.3333,128.9167,77.59,2.93
504,Schwabach,40,DE,1624722220,47,49.3292,11.0256,78.39,4.61
505,Siguiri,64,GN,1624722220,24,11.6667,-9.5,99.52,9.8
506,Fortuna,90,US,1624722183,100,40.5982,-124.1573,54.52,0.0
507,Tezu,91,IN,1624722221,97,27.9167,96.1667,77.14,3.29
508,Catherinas Lust,19,GY,1624722221,77,6.4,-57.6,81.9,9.62
509,Estelle,75,US,1624722222,69,29.8458,-90.1067,88.0,16.11
510,Malé,75,MV,1624722222,79,4.1748,73.5089,84.15,14.97
511,Humberto de Campos,18,BR,1624722223,63,-2.5983,-43.4611,84.83,5.86
512,Saint Anthony,40,US,1624722223,78,45.0205,-93.218,75.09,8.05
513,Marrakesh,0,MA,1624722223,23,31.6315,-8.0083,96.87,6.91
514,Lagos,100,NG,1624722116,94,6.5833,3.75,74.68,7.49
515,Chapais,100,CA,1624722224,88,49.7834,-74.8492,65.98,5.91
516,Harper,100,LR,1624722224,83,4.375,-7.7169,79.14,6.98
517,Gimli,84,CA,1624722070,77,50.6336,-96.9907,76.42,4.61
518,Camaná,52,PE,1624722225,74,-16.6228,-72.7111,64.92,10.89
519,Balotra,0,IN,1624722225,38,25.8333,72.2333,93.81,14.65
520,Shingū,100,JP,1624722226,88,33.7333,135.9833,72.91,4.65
521,Altamira,75,BR,1624722226,74,-3.2033,-52.2064,84.29,8.05
522,Cap-aux-Meules,75,CA,1624722227,83,47.3821,-61.8597,69.85,12.66
523,Tual,79,ID,1624722227,78,-5.6667,132.75,81.12,22.7
524,Tegul'det,100,RU,1624722227,98,57.3064,88.1667,48.0,6.08
525,Puerto Baquerizo Moreno,75,EC,1624722228,83,-0.9,-89.6,74.39,9.22
526,Champerico,99,GT,1624722228,71,14.3,-91.9167,87.76,5.99
527,Arari,15,BR,1624722229,58,-3.4536,-44.78,87.01,3.51
528,Lavrentiya,100,RU,1624722229,85,65.5833,-171.0,43.83,7.81
529,Maralal,89,KE,1624722229,61,1.0968,36.698,64.63,1.95
530,Kapuskasing,90,CA,1624722230,73,49.4169,-82.4331,75.29,5.75
531,Port Hawkesbury,75,CA,1624722230,80,45.6169,-61.3485,78.01,4.0
532,Vysokogornyy,100,RU,1624722230,99,50.1167,139.15,53.94,3.04
533,Kaeo,100,NZ,1624722231,95,-35.1,173.7833,60.33,11.07
534,Kristiansund,75,NO,1624722231,82,63.1115,7.732,57.25,5.75
535,Abay,19,KZ,1624722232,52,49.6311,72.8539,59.38,7.2
536,Saint-Augustin,100,CA,1624722232,90,51.226,-58.6502,58.14,16.35
537,Barnstaple,72,GB,1624722232,66,51.0802,-4.0581,68.67,8.9
538,Grindavik,0,IS,1624722233,67,63.8424,-22.4338,55.87,20.71
539,Ilo,75,PE,1624722233,77,-17.6394,-71.3375,63.46,6.91
540,Poum,83,NC,1624722233,78,-20.2333,164.0167,73.89,19.37
541,Caravelas,83,BR,1624722234,53,-17.7125,-39.2481,77.07,9.82
542,Roald,75,NO,1624722234,87,62.5833,6.1333,60.17,3.44
543,São Fidélis,36,BR,1624722235,60,-21.6461,-41.7469,76.95,6.69
544,Mumford,100,GH,1624722235,84,5.2618,-0.759,78.37,12.91
545,Katherine,77,AU,1624722236,67,-14.4667,132.2667,62.92,9.22
546,Lhokseumawe,89,ID,1624722236,88,5.1801,97.1507,77.47,3.33
547,Gravdal,75,NO,1624722237,76,68.1214,13.5031,49.89,12.66
548,Araouane,52,ML,1624722237,11,18.9048,-3.5265,109.17,6.42
549,Sioux Lookout,90,CA,1624722238,82,50.1001,-91.917,66.58,3.44
550,Kojnare,3,BG,1624722238,74,43.35,24.1333,89.71,5.97
551,Pacific Grove,90,US,1624722230,92,36.6177,-121.9166,69.42,3.0
552,Strezhevoy,0,RU,1624722238,51,60.7333,77.5889,62.58,6.71
553,Cururupu,18,BR,1624722239,63,-1.8283,-44.8683,84.97,4.85
554,Klang,20,MY,1624722239,94,3.0333,101.45,78.93,0.0
555,Farnes,100,NO,1624722240,56,61.3167,7.8,69.69,6.73
556,Kajaani,0,FI,1624722241,50,64.2273,27.7285,75.25,9.22
557,Krasnosel'kup,16,RU,1624722241,54,65.7,82.4667,50.79,14.5
558,Leshukonskoye,100,RU,1624722242,60,64.8989,45.7622,69.55,3.62
559,Breves,83,BR,1624722242,53,-1.6822,-50.4803,88.74,3.31
560,Oyama,100,JP,1624722242,76,36.3,139.8,78.58,2.82
561,Ghanzi,0,BW,1624722243,25,-21.5667,21.7833,65.16,4.81
562,Yanam,100,IN,1624722243,70,16.7333,82.2167,84.6,6.15
